id,city,postalcode,price,nb_beds,nb_baths,owner,rating,description
288be150-c451-42c8-8f64-61be45237203,Lavaltrie,G7A4X2,177,1,1,Aeriell Pippin,5,1 bed/1 bath renovated condo in a vibrant community of Lavaltrie with a balcony and hardwood floor.
eae59477-fab2-4db5-a7f8-1d9e23f722d6,Saint-Bruno-de-Montarville,G3T0D1,183,5,3,Bayard Scroggie,3,5 beds/3 baths spacious rental in a quiet neighborhood of Saint-Bruno-de-Montarville with a pool and granite countertop.
49eaf6af-b8f7-4cb2-ba9e-bdf49e1c27b4,Bromont,G1F1G0,111,1,1,Garvy Alcorn,3,1 bed/1 bath funky rental in a quiet neighborhood of Bromont with a garden and fully furnished game room.
05cf5662-e302-49a0-b284-1ed359b807e8,Rosemère,G6D2S0,124,1,3,Cicely Knowller,1,1 bed/3 baths cozy condo in a vibrant community of Rosemère with a granite countertop and hardwood floor.
52a5ed81-f237-4166-9380-8a81defaddff,Saint-Jean-sur-Richelieu,G7C6J2,228,5,2,Griz MacCawley,1,5 beds/2 baths renovated condo in a casual community of Saint-Jean-sur-Richelieu with a beautiful view and walk-in closet.
6990c7f0-50e1-4ea3-9b92-f96eac42e405,Matane,G7X9S2,76,5,2,Neely Coggan,1,5 beds/2 baths intimate rental in a professional community of Matane with a walk-in closet and granite countertop.
83b1683a-a0f4-4083-9cba-6af3f0a88bc3,Danville,G6M7C2,166,5,3,Daniella Eschalette,1,5 beds/3 baths beautiful condo in a fun neighborhood of Danville with a walk-in closet and pool.
d11cdec0-aa2f-444c-888f-9a028f321a0b,Dollard-des-Ormeaux,H6W8Z3,150,5,3,Ede Sooley,4,5 beds/3 baths modern rental in a hip neighborhood of Dollard-des-Ormeaux with a walk-in closet and fully furnished game room.
8a98eec7-72a7-4e3e-9dfb-6d6cb892ee9a,Kirkland,H5D6X0,60,4,3,Rolland Midghall,2,4 beds/3 baths funky condo in a professional community of Kirkland with a hardwood floor and beautiful view.
5d1b853b-a3d9-457f-b2bb-bb058e098b95,Léry,G4N7C4,190,2,2,Daisey Spelling,4,2 beds/2 baths spacious condo in a fun neighborhood of Léry with a hardwood floor and granite countertop.
574b7a93-f865-495e-b6f2-199052df8a7e,Rosemère,H3X0I9,227,2,1,Kath Huntly,4,2 beds/1 bath traditional condo in a professional community of Rosemère with a garden and walk-in closet.
